municipio,rmse_model,rmse_naive,ganho_perc
ÁLVARO DE CARVALHO,7.483606963215764,8.621389789617382,13.197208967072038
VARGEM GRANDE DO SUL,7.65477046713077,8.965722286527711,14.621820501476336
VARGEM,5.942902500384682,7.318320981625921,18.79418086053476
VALINHOS,11.876735341063204,15.32537704710124,22.502818008580995
URUPÊS,6.748316476410533,7.736067324299763,12.76812631641151
URU,6.904156212494038,7.671015641777273,9.996843509310892
UNIÃO PAULISTA,6.687548411311855,7.531078725545101,11.20065723615432
UCHOA,8.398686905650536,9.501677907212084,11.60838130204711
UBIRAJARA,7.2981051943616935,8.51933194045282,14.334771254683808
UBATUBA,4.959998105753425,5.825069535717723,14.850834391931588
UBARANA,6.846433374843136,7.811500488592657,12.354439651624338
TURMALINA,6.491013115747241,7.8754546323448755,17.57919486846723
TUPÃ,6.662677174954712,7.55617046016184,11.824684076647884
AREALVA,10.0861681768481,12.062585635042476,16.384691624097357
ARCO-ÍRIS,7.321669755608319,8.028696711167878,8.806248149541984
ARAÇOIABA DA SERRA,9.58692911306756,11.35650088553293,15.582015889415645
ARAÇATUBA,8.601843789914014,10.042222518221154,14.343226568557299
ARAÇARIGUAMA,18.088086089491764,23.03865988336264,21.488115276383468
ARARAS,22.203138444820656,14.029372739103593,-58.26180441363999
ARARAQUARA,11.626229720270908,14.698540484587289,20.902148533304842
